W,R,AB,H,doubles,triples,HR,BB,SO,SB,CS,RA,ER,CG,IPouts,HA,HRA,BBA,SOA,E,DP,FP,attendance,singles,OBP,net_points
98,799,5546,1492,283,27,168,601,800.0,61.0,33.0,652,586,36,4356,1451,130,452,774,121,159.0,0.981,2042071.0,1014,0.34049129656743127,147
78,724,5590,1512,287,32,142,536,758.0,30.0,26.0,775,697,29,4338,1572,158,493,767,130,168.0,0.9790000000000001,1782285.0,1051,0.3343127652628142,-51
99,800,5484,1439,270,42,157,527,888.0,165.0,50.0,650,589,35,4335,1355,128,447,877,120,158.0,0.981,2132821.0,970,0.3270670437531193,150
71,701,5512,1436,272,42,140,470,868.0,84.0,40.0,719,647,9,4284,1496,117,498,807,115,164.0,0.982,1479717.0,982,0.31862253426947507,-18
74,623,5333,1274,236,35,107,588,1006.0,154.0,77.0,710,637,34,4323,1365,135,627,934,114,121.0,0.981,1190419.0,896,0.31447390643472384,-87
70,704,5476,1451,249,31,86,605,691.0,109.0,71.0,785,709,34,4323,1531,120,529,794,122,174.0,0.98,768941.0,1085,0.33810228580825524,-81
92,789,5592,1530,283,53,156,508,831.0,93.0,53.0,679,613,42,4353,1318,170,522,875,124,142.0,0.98,1829636.0,1038,0.3340983606557377,110
85,643,5502,1412,239,60,97,517,869.0,164.0,95.0,646,562,22,4398,1276,94,570,904,147,165.0,0.977,1351962.0,1016,0.3204851304203356,-3
79,696,5598,1515,273,54,109,397,722.0,182.0,47.0,767,679,19,4311,1535,133,471,593,164,178.0,0.9740000000000001,1963875.0,1079,0.3189324437030859,-71
91,654,5440,1358,197,34,146,541,925.0,166.0,76.0,609,504,27,4392,1336,97,495,1000,168,132.0,0.9740000000000001,3510313.0,981,0.31750543387393415,45
70,709,5601,1463,280,41,141,467,802.0,44.0,29.0,822,744,20,4311,1559,163,580,748,118,170.0,0.981,858939.0,1001,0.3180619644034278,-113
91,770,5631,1535,269,40,153,533,686.0,84.0,42.0,703,624,47,4368,1449,116,455,892,139,157.0,0.978,2257976.0,1073,0.3354964308890331,67
68,575,5444,1314,172,26,112,436,1031.0,141.0,64.0,680,593,18,4353,1384,97,615,717,151,171.0,0.976,1112774.0,1004,0.2976190476190476,-105
74,708,5516,1447,237,28,121,524,872.0,235.0,98.0,782,701,22,4362,1462,135,626,719,157,157.0,0.9740000000000001,1294941.0,1061,0.3263245033112583,-74
90,696,5426,1352,209,45,125,640,906.0,143.0,75.0,635,542,20,4383,1429,111,464,1092,152,117.0,0.976,2128339.0,973,0.3283877349159248,61
84,659,5531,1460,238,29,121,497,873.0,124.0,77.0,648,577,25,4386,1378,109,563,1061,115,165.0,0.981,1225916.0,1072,0.32465162574651624,11
81,653,5527,1384,207,34,93,482,822.0,179.0,67.0,653,590,23,4401,1389,144,528,850,129,135.0,0.9790000000000001,1539815.0,1050,0.3105341987019471,0
60,558,5336,1280,247,31,111,460,840.0,144.0,80.0,740,649,25,4254,1455,145,544,910,134,159.0,0.9790000000000001,813537.0,891,0.3002070393374741,-182
79,687,5369,1324,206,30,142,619,990.0,140.0,78.0,697,594,20,4335,1431,127,520,881,171,109.0,0.973,1251530.0,946,0.3244822979291917,-10
79,679,5550,1496,262,63,83,543,879.0,207.0,89.0,710,615,22,4380,1479,115,525,709,152,173.0,0.976,2317914.0,1088,0.33464631544395207,-31
77,639,5610,1429,242,33,106,442,767.0,119.0,60.0,609,539,43,4398,1392,97,471,826,113,151.0,0.982,1363469.0,1048,0.30915399867812293,30
89,795,5581,1546,268,58,167,510,810.0,131.0,72.0,726,661,43,4335,1434,145,517,835,115,148.0,0.981,1930415.0,1053,0.33754720078804795,69
80,632,5422,1338,234,27,111,555,896.0,140.0,85.0,655,574,17,4341,1401,122,525,859,139,153.0,0.978,1724892.0,966,0.31671407060398193,-23
85,681,5456,1374,234,23,160,620,884.0,51.0,36.0,667,593,48,4317,1393,137,512,714,123,166.0,0.981,2045784.0,957,0.32817643186306783,14
86,810,5648,1598,259,45,181,500,842.0,38.0,25.0,764,670,40,4326,1524,141,517,927,143,128.0,0.977,1661618.0,1113,0.341249186727391,46
74,679,5513,1360,225,38,172,523,883.0,109.0,49.0,736,667,43,4362,1416,155,483,840,122,160.0,0.981,2136988.0,925,0.31196156394963553,-57
96,762,5437,1415,240,47,136,567,967.0,154.0,66.0,658,598,19,4302,1458,99,442,879,121,137.0,0.981,2107655.0,992,0.33011325782811457,104
70,627,5498,1342,238,30,106,566,978.0,160.0,63.0,747,675,25,4383,1445,128,578,946,139,116.0,0.977,1275887.0,968,0.31464379947229554,-120
75,761,5643,1498,222,39,123,600,815.0,126.0,77.0,766,694,21,4401,1523,141,545,803,146,163.0,0.977,734079.0,1114,0.336056383149127,-5
104,829,5644,1529,254,46,187,602,941.0,106.0,68.0,643,568,19,4392,1358,130,489,914,124,162.0,0.98,2704794.0,1042,0.3411783541466539,186
80,693,5548,1465,222,67,79,494,837.0,105.0,61.0,630,535,24,4347,1350,91,502,950,133,160.0,0.9790000000000001,1229862.0,1097,0.3242303872889772,63
84,673,5543,1487,269,52,117,400,832.0,106.0,64.0,686,629,18,4332,1426,136,433,724,129,157.0,0.98,1810018.0,1049,0.31751640585562846,-13
79,580,5399,1316,213,23,102,488,829.0,109.0,69.0,600,514,39,4380,1381,76,499,1033,163,146.0,0.975,3134824.0,978,0.30643791404790216,-20
81,673,5562,1473,259,33,114,437,735.0,39.0,30.0,675,615,32,4311,1429,159,463,713,120,134.0,0.98,1598692.0,1067,0.3183863977329555,-2
87,758,5661,1560,275,32,130,534,673.0,62.0,38.0,679,615,15,4395,1485,120,518,992,142,177.0,0.977,1821815.0,1123,0.33801452784503633,79
90,652,5438,1400,235,25,107,500,1001.0,149.0,54.0,676,577,12,4326,1371,104,573,1028,129,154.0,0.9790000000000001,1842695.0,1033,0.31997305490063993,-24
77,738,5457,1415,257,29,158,568,871.0,145.0,64.0,796,712,15,4290,1554,155,592,695,146,159.0,0.975,1353281.0,971,0.32912863070539417,-58
81,720,5614,1494,248,51,147,555,1084.0,186.0,60.0,690,586,11,4374,1416,101,448,904,161,112.0,0.975,2062693.0,1048,0.33214459393742907,30
75,615,5537,1412,237,33,98,438,841.0,96.0,62.0,567,508,27,4410,1344,102,502,995,128,142.0,0.98,773500.0,1044,0.30962343096234307,48
92,686,5504,1425,207,42,109,472,810.0,152.0,68.0,634,565,13,4380,1327,122,563,812,138,144.0,0.977,1983904.0,1067,0.3174364123159304,52
74,682,5546,1429,244,34,129,519,871.0,116.0,62.0,774,691,26,4326,1497,138,619,972,126,143.0,0.9790000000000001,870372.0,1022,0.3211871393239901,-92
66,682,5650,1499,229,26,112,528,980.0,126.0,76.0,807,713,9,4383,1589,125,549,854,169,134.0,0.973,1001545.0,1132,0.32809970864357396,-125
84,652,5433,1369,225,44,75,516,924.0,220.0,71.0,645,576,19,4347,1427,94,494,808,118,184.0,0.982,2037448.0,1025,0.31685997646663305,7
69,656,5569,1452,227,29,120,420,807.0,81.0,50.0,714,625,38,4314,1443,148,518,863,138,138.0,0.977,1102471.0,1076,0.31257305059275337,-58
89,750,5687,1555,275,68,143,460,816.0,193.0,67.0,696,628,34,4392,1433,140,528,875,123,166.0,0.98,2110009.0,1069,0.32780217992516675,54
66,632,5526,1359,213,28,126,553,849.0,72.0,52.0,781,678,9,4371,1512,134,642,776,159,197.0,0.976,1350137.0,992,0.3145254153643691,-149
83,818,5517,1451,234,22,214,604,908.0,69.0,43.0,764,694,32,4281,1480,160,568,793,115,168.0,0.98,2132387.0,981,0.33572945597124654,54
81,800,5720,1615,292,31,162,562,816.0,66.0,27.0,720,659,35,4383,1487,130,540,913,145,161.0,0.977,1786633.0,1130,0.34654568608723335,80
85,736,5470,1386,247,37,146,471,843.0,108.0,56.0,720,656,20,4353,1411,161,569,1023,111,152.0,0.982,1669888.0,956,0.3125736408012119,16
77,686,5492,1397,239,28,150,562,937.0,182.0,49.0,729,667,20,4326,1492,156,519,820,134,150.0,0.9790000000000001,2161534.0,980,0.323587710604559,-43
89,677,5431,1385,249,34,114,576,856.0,159.0,70.0,666,598,24,4353,1347,131,535,910,121,142.0,0.98,1834619.0,988,0.3264524721158648,11
60,729,5527,1465,254,31,116,492,817.0,132.0,72.0,861,775,24,4263,1556,170,547,702,141,161.0,0.977,655181.0,1064,0.3251370659578003,-132
